鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,土地,廣福段511~540地號,125.2,農,,,1081127,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,23962,,0.0,0,,RPUQMLPKJHPFFCB48CA
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路三段361~390號,42.41,住,,,1081007,土地2建物1車位1,十七層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060822,195.01999999999998,4,2,2,有,有,25180000,138299,坡道平面,24.52,1600000,,RPSSMLPKJHPFFCB48CA
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路三段331~360號,51.66,住,,,1081028,土地2建物1車位2,五層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060822,241.81,4,2,2,有,有,25980000,118172,坡道平面,49.04,3200000,,RPTSMLPKJHPFFCB58CA
南屯區,房地(土地+建物),臺中市南屯區黎明路一段242巷1~30號,21.84,住,,,1081221,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701229,69.22,3,2,1,有,無,2500000,36117,,0.0,0,,RPTOMLQKJHPFFCB28CA
南屯區,土地,新富段661~690地號,364.53,住,,,1081125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,54032300,148225,,0.0,0,,RPRPMLQKJHPFFCB18CA
西屯區,土地,何安段361~390地號,11.92,住,,,1081230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1730784,145200,,0.0,0,,RPTPMLQKJHPFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區三厝街121~150號,42.67,住,,,1081226,土地2建物1車位2,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031029,317.83000000000004,3,2,2,有,有,18000000,56634,坡道平面,76.8,0,親友、員工或其他特殊關係間之交易。;,RPWPMLQKJHPFFCB68CA
南屯區,房地(土地+建物)+車位,臺中市南屯區嶺東南路181~210號,17.89,住,,,1081208,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060315,170.95,3,2,2,有,有,11300000,66101,坡道平面,34.1,0,,RPPQMLQKJHPFFCB08CA
南屯區,房地(土地+建物),臺中市南屯區河南路四段350巷1~30號,11.04,住,,,1081114,土地1建物1車位0,十七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831122,125.28,3,2,2,有,有,7150000,57072,,0.0,0,,RPTQMLQKJHPFFCB48CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南三路571~600號,22.09,商,,,1081205,土地1建物1車位2,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001207,285.44,4,2,2,有,有,24300000,85132,坡道平面,35.7,0,,RPPRMLQKJHPFFCB18CA
