鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,5.9,商,,,1081219,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0720915,62.5,3,2,2,有,有,4000000,64000,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLSJKHPFFDA97CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段372巷27弄1~30號,1.8,住,,,1090102,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,15.77,2,1,1,有,無,2200000,139505,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLKKKHPFFDA08CA
松山區,房地(土地+建物),臺北市松山區延吉街46巷1~30號,22.68,其他,,,1081224,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670330,122.26,2,2,2,有,有,32000000,261737,,0.0,0,,RPRQMLKKKHPFFDA77CA
士林區,土地,溪洲段一小段391~420地號,53.55,其他,,,1081217,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2588800,48344,,0.0,0,,RPRPMLNKJHPFFEA97CA
北投區,土地,關渡段一小段91~120地號,43.02,其他,,,1090107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,390000,9066,,0.0,0,包含公共設施保留地之交易。;,RPRQMLNKJHPFFEA08CA
士林區,房地(土地+建物),臺北市士林區文林路740巷9弄1~30號,37.25,住,,,1081104,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651014,104.88,3,2,2,有,無,17500000,166857,,0.0,0,含增建或未登記建物。;,RPROMLOKJHPFFEA97CA
北投區,土地,奇岩段一小段61~90地號,35.0,住,,,1090102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,71429,,0.0,0,,RPVQMLOKJHPFFEA58CA
士林區,房地(土地+建物),臺北市士林區德行東路132巷3弄1~30號,33.12,住,,,1081121,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710428,82.41,3,2,2,有,無,13400000,162602,,0.0,0,含增建或未登記建物。;,RPOTMLOKJHPFFEA18CA
北投區,房地(土地+建物),臺北市北投區溫泉路37巷1~30號,8.63,住,,,1081212,土地2建物1車位0,十二層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941111,43.92,1,1,1,有,有,5850000,133197,,0.0,0,含增建或未登記建物。;,RPQOMLPKJHPFFEA97CA
北投區,房地(土地+建物),臺北市北投區東華街一段400巷1~30號,45.75,住,,,1081106,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610427,121.02,3,1,1,有,無,23000000,190051,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLPKJHPFFEA87CA
北投區,房地(土地+建物),臺北市北投區懷德街98巷1~30號,22.75,住,,,1081106,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0611120,66.42,2,1,1,有,無,9000000,135501,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPPPMLPKJHPFFEA97CA
